signal_id,holding_days,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,exit_reason
S5_macd_cross,10,2001-03-09,2001-03-23,1233.4200439453125,1139.8299560546875,80.994386616705,-7772.491690142767,-7.772491690142768,time_stop
S5_macd_cross,10,2001-03-28,2001-04-11,1153.2900390625,1165.8900146484375,86.62183537222596,890.5413780880529,0.8905413780880611,time_stop
S5_macd_cross,10,2001-05-18,2001-06-04,1291.9599609375,1267.1099853515625,77.32445503002138,-2119.3895086724488,-2.1193895086724535,time_stop
S5_macd_cross,10,2001-07-03,2001-07-18,1234.449951171875,1207.7099609375,80.9268126304058,-2361.6183970568977,-2.361618397056897,time_stop
S5_macd_cross,10,2001-07-27,2001-08-10,1205.8199462890625,1190.1600341796875,82.8482728350486,-1495.8994741395593,-1.4958994741395615,time_stop
S5_macd_cross,10,2001-08-28,2001-09-18,1161.510009765625,1032.739990234375,86.00881530091868,-11264.081669133015,-11.26408166913302,time_stop
S5_macd_cross,10,2001-10-02,2001-10-16,1051.3299560546875,1097.5400390625,95.0225943099669,4186.810768910386,4.186810768910387,time_stop
S5_macd_cross,10,2001-11-02,2001-11-16,1087.199951171875,1138.6500244140625,91.88751323288714,4523.091466788456,4.523091466788465,time_stop
S5_macd_cross,10,2001-12-07,2001-12-21,1158.31005859375,1144.8900146484375,86.24642353653041,-1356.073562992461,-1.3560735629924658,time_stop
S5_macd_cross,10,2001-12-31,2002-01-15,1148.0799560546875,1146.18994140625,87.01493251689631,-364.0952373928247,-0.36409523739282523,time_stop
S5_macd_cross,10,2002-02-14,2002-03-01,1116.47998046875,1131.780029296875,89.47773506709652,1167.84450204086,1.16784450204086,time_stop
S5_macd_cross,10,2002-05-15,2002-05-30,1091.0699462890625,1064.6600341796875,91.56159074849347,-2615.5156304982156,-2.615515630498211,time_stop
S5_macd_cross,10,2002-06-20,2002-07-05,1006.2899780273438,989.030029296875,99.27565819142576,-1911.579477597163,-1.9115794775971584,time_stop
S5_macd_cross,10,2002-07-09,2002-07-23,952.8300170898438,797.7000122070312,104.84566828112447,-16448.244523160378,-16.448244523160373,time_stop
S5_macd_cross,10,2002-07-30,2002-08-13,902.780029296875,884.2100219726562,110.65829621630701,-2252.6706456513534,-2.2526706456513557,time_stop
