kind,key,name,n_trades,avg_holding_days,exposure_pct,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,mdd_pct,calmar,win_rate_pct,profit_factor,cagr_nocash,cash_contrib_pp
strategy,S3_bb_lower_break h=10,S3_bb_lower_break h=10,134.0,10.0,20.047875523638538,68.97324939495863,1.9974200737224335,11.692153795577733,0.0642124403155543,0.06803270603018217,-36.969559476061356,0.05402877670251411,51.492537313432834,1.1332289283976757,0.5054011184684848,1.4920189552539487
strategy,S3_bb_lower_break h=20,S3_bb_lower_break h=20,112.0,20.0,33.51286654697786,310.93282616077084,5.472775023944165,13.430885880136804,0.3217798658192652,0.35228756624682334,-35.6036638824069,0.15371381557863958,62.5,1.759871670110344,4.178421822469658,1.2943532014745074
strategy,S4_bb_upper_break h=1,S4_bb_upper_break h=1,191.0,1.0,2.857570317175344,-0.6640049481032362,-0.02511462786626284,1.8083770578637197,-1.0632847312358915,-0.9430223645730287,-20.28931718018877,-0.0012378251886557166,32.98429319371728,0.3322893205766422,-1.8036326162282346,1.7785179883619717
strategy,S4_bb_upper_break h=5,S4_bb_upper_break h=5,159.0,5.0,11.89407540394973,0.7076238483100017,0.02658840074529767,4.406156428492899,-0.4056861056018089,-0.3900544781678538,-26.96859668042002,0.0009859022722009713,49.685534591194966,0.6261846443078989,-1.5745252163134715,1.6011136170587692
strategy,S4_bb_upper_break h=10,S4_bb_upper_break h=10,143.0,10.0,21.39437462597247,-0.7835314917420622,-0.029652625727927262,6.094098214673832,-0.2879020645990586,-0.2852188624871287,-37.63791204881009,-0.0007878392852789697,54.54545454545455,0.7243119149311955,-1.4510703594732721,1.4214177337453449
strategy,S4_bb_upper_break h=20,S4_bb_upper_break h=20,117.0,20.0,35.00897666068223,46.36140828487441,1.4464627864296142,8.55460256879016,-0.012615834281129794,-0.013115927208770237,-31.395090672970827,0.046072897240425126,59.82905982905983,1.0915126139213491,0.2634037654193566,1.1830590210102576
strategy,S5_macd_cross h=1,S5_macd_cross h=1,283.0,1.0,4.233991621783363,-2.852769311401293,-0.10905948829152967,3.2004130399548436,-0.6148437864968822,-0.6208933443223613,-20.406166292484485,-0.005344437888448252,34.628975265017665,0.5954831753271964,-1.8323510332206472,1.7232915449291175
strategy,S5_macd_cross h=5,S5_macd_cross h=5,271.0,5.0,20.272292040694197,-4.3715959858432125,-0.16838701688769442,7.390078456627422,-0.24423940111736667,-0.24858289324235905,-42.25331676260804,-0.003985178674463447,52.02952029520295,0.8263987249195954,-1.5802212612689104,1.411834244381216
strategy,S5_macd_cross h=10,S5_macd_cross h=10,243.0,10.0,36.35547576301616,-2.724626400862684,-0.104094949825706,10.41074210119287,-0.14134122300533553,-0.14942269623596494,-59.86110067080441,-0.001738941460467923,55.1440329218107,0.9304795998581746,-1.2297843829410016,1.1256894331152956
strategy,S5_macd_cross h=20,S5_macd_cross h=20,179.0,20.0,53.5607420706164,83.9304474302288,2.3241072906290183,13.052912833909257,0.09496612960410926,0.10662446947391932,-58.60666509310045,0.039656023541640266,61.452513966480446,1.216663034181475,1.478742430106994,0.8453648605220243
