signal_id,label,regime,regime_name,n_days,n_sig,rate,rate_ratio,share_sig,share_days,mean_uncond_h1,mean_sig_h1
S3_bb_lower_break,S3 볼린저 하단,recovery_expansion,회복·확장,1258,25,0.01987281399046105,0.6355497067571371,0.11961722488038277,0.18821065230400957,0.0005293802004117698,0.0029576640110340513
S3_bb_lower_break,S3 볼린저 하단,financial_crisis,금융위기,355,20,0.056338028169014086,1.801738661634881,0.09569377990430622,0.05311190903650509,-0.0018681465533879164,0.0006404267987705659
S3_bb_lower_break,S3 볼린저 하단,long_bull,장기 강세,2756,74,0.026850507982583455,0.8587023701224297,0.35406698564593303,0.412327947336924,0.0006037319811795218,-6.979318525877646e-05
S3_bb_lower_break,S3 볼린저 하단,covid_crash,코로나,135,4,0.02962962962962963,0.9475810738968633,0.019138755980861243,0.020197486535008975,0.0009150264358393669,-0.06617575071211135
S3_bb_lower_break,S3 볼린저 하단,recent,최근 국면,1485,46,0.030976430976430977,0.9906529408921753,0.22009569377990432,0.22217235188509873,0.000553516912023434,0.002072100474537235
S4_bb_upper_break,S4 볼린저 상단,dotcom_crash,닷컴 붕괴,695,11,0.015827338129496403,0.553873968887717,0.05759162303664921,0.10397965290245362,-0.0006351870652290209,-0.0034124365522360885
S4_bb_upper_break,S4 볼린저 상단,recovery_expansion,회복·확장,1258,40,0.03179650238473768,1.1127111096313436,0.2094240837696335,0.18821065230400957,0.0005293802004117698,-0.0002725282236410609
S4_bb_upper_break,S4 볼린저 상단,financial_crisis,금융위기,355,4,0.011267605633802818,0.3943072044834452,0.020942408376963352,0.05311190903650509,-0.0018681465533879164,0.004381692525807945
S4_bb_upper_break,S4 볼린저 상단,long_bull,장기 강세,2756,79,0.028664731494920173,1.0031155251939603,0.41361256544502617,0.412327947336924,0.0006037319811795218,-0.0007444225902131665
S4_bb_upper_break,S4 볼린저 상단,covid_crash,코로나,135,5,0.037037037037037035,1.2961023851076205,0.02617801047120419,0.020197486535008975,0.0009150264358393669,0.006118082144937742
S4_bb_upper_break,S4 볼린저 상단,recent,최근 국면,1485,52,0.035016835016835016,1.2254058913744776,0.27225130890052357,0.22217235188509873,0.000553516912023434,-0.0007195490086669912
S5_macd_cross,S5 MACD>Signal,dotcom_crash,닷컴 붕괴,695,29,0.041726618705035974,0.9855149096270688,0.10247349823321555,0.10397965290245362,-0.0006351870652290209,-0.0062036756518276705
S5_macd_cross,S5 MACD>Signal,recovery_expansion,회복·확장,1258,57,0.04531001589825119,1.0701489267276005,0.20141342756183744,0.18821065230400957,0.0005293802004117698,0.0005947678089489029
S5_macd_cross,S5 MACD>Signal,financial_crisis,금융위기,355,11,0.030985915492957747,0.7318369581446275,0.038869257950530034,0.05311190903650509,-0.0018681465533879164,0.0023651449264970262
S5_macd_cross,S5 MACD>Signal,long_bull,장기 강세,2756,114,0.041364296081277216,0.976957438188187,0.4028268551236749,0.412327947336924,0.0006037319811795218,0.0005423080259720677
S5_macd_cross,S5 MACD>Signal,covid_crash,코로나,135,5,0.037037037037037035,0.8747546132705143,0.0176678445229682,0.020197486535008975,0.0009150264358393669,0.012592258255223277
S5_macd_cross,S5 MACD>Signal,recent,최근 국면,1485,67,0.04511784511784512,1.0656101652568084,0.23674911660777384,0.22217235188509873,0.000553516912023434,0.0012585531019083148
